knn,lgr
12,12
2,32
2,2
4,3
5,3
25,25
38,38
4,1
23,25
5,1
18,25
10,9
4,3
11,25
8,9
11,23
11,25
5,3
38,9
24,25
1,1
4,1
34,38
6,6
10,2
24,25
11,11
2,17
23,25
2,3
38,38
8,3
4,3
2,33
16,17
40,33
4,2
38,38
18,25
28,11
25,25
11,11
5,1
13,13
5,3
38,38
13,13
1,1
11,25
25,25
17,17
2,12
33,33
19,11
7,3
7,12
8,2
28,22
13,13
5,1
14,14
17,17
1,3
13,13
40,1
8,2
3,3
25,25
2,1
1,1
3,3
8,9
1,1
5,1
1,3
2,12
2,1
2,2
8,1
10,9
9,17
7,9
12,12
12,12
20,25
5,3
8,3
26,11
13,13
4,4
5,1
14,1
4,12
34,12
22,25
6,3
11,11
4,3
4,1
2,2
18,11
26,25
25,25
25,25
38,38
34,15
5,2
4,3
10,33
8,3
2,3
42,42
8,3
38,38
1,39
20,25
11,25
8,2
5,5
25,25
7,3
10,9
35,33
26,25
4,17
40,1
25,25
8,2
3,3
18,11
10,15
25,25
11,25
13,13
1,1
5,3
5,4
3,3
2,12
12,12
21,11
12,12
23,11
11,11
11,25
38,2
38,38
7,3
7,1
30,25
26,25
3,3
11,25
7,1
25,25
5,3
31,25
14,14
2,2
1,1
3,3
25,25
7,1
38,38
38,1
9,9
25,25
24,25
21,11
11,11
4,1
10,2
7,38
5,4
30,11
13,13
8,2
2,1
2,2
13,13
12,12
2,1
8,2
36,2
3,2
40,17
4,1
35,35
2,2
12,12
3,2
4,1
4,3
4,1
9,17
11,25
13,13
5,2
3,3
5,3
36,12
5,38
7,3
1,1
25,25
2,2
13,13
7,3
21,11
39,3
4,3
2,2
11,11
12,12
9,3
11,11
2,9
36,32
15,12
25,25
10,9
14,3
16,1
13,13
2,3
42,9
2,1
13,13
1,1
38,38
3,2
38,38
14,3
11,25
2,9
4,3
3,3
2,2
25,25
2,2
1,1
8,9
8,1
23,25
9,9
18,25
11,11
8,3
3,1
1,1
5,2
10,9
13,13
18,25
38,38
2,2
4,2
12,12
1,3
13,13
38,38
8,42
25,25
4,3
7,7
21,11
2,12
25,25
38,38
11,11
2,1
12,12
25,25
38,1
7,12
7,38
30,25
26,11
7,2
2,2
2,2
4,3
4,3
26,25
1,12
16,16
17,17
3,3
38,38
12,12
4,3
26,25
42,3
11,11
2,3
7,3
25,25
5,1
26,25
7,3
36,12
38,38
7,2
20,25
25,25
29,23
4,3
3,2
38,38
3,3
12,12
25,25
1,1
2,2
5,3
1,1
36,42
3,1
24,11
7,2
12,38
11,25
8,1
1,1
11,25
13,13
5,3
5,1
12,12
7,12
36,12
4,1
2,1
1,1
9,12
13,13
16,16
10,4
23,25
8,3
3,3
1,9
25,25
42,42
10,9
1,3
5,3
13,13
12,12
1,1
17,17
2,2
13,13
5,2
10,2
13,13
25,25
12,12
13,13
1,1
12,12
11,25
17,17
4,1
7,1
26,25
25,25
1,1
3,2
12,12
3,3
38,38
4,2
38,38
10,9
19,11
9,9
7,3
10,32
20,25
42,42
11,11
9,9
5,5
10,3
23,25
41,41
1,3
4,3
4,2
9,1
2,2
2,12
23,25
11,25
11,25
2,3
2,2
11,11
11,11
7,2
25,25
5,1
9,9
18,11
7,3
2,2
2,2
1,1
5,9
12,12
4,2
28,25
7,12
23,11
3,3
21,11
38,38
5,1
23,23
2,1
16,1
13,13
12,12
4,1
9,9
4,1
2,1
13,13
1,1
5,1
9,2
38,38
10,2
1,1
7,1
9,16
4,3
10,2
1,1
1,1
11,11
25,25
18,11
11,11
30,11
11,11
2,12
4,3
11,25
12,12
9,9
18,25
23,25
2,33
13,13
10,25
1,12
6,1
26,11
7,5
36,39
25,25
9,9
2,1
25,25
31,11
11,25
40,15
12,12
7,3
35,35
5,3
3,1
13,13
11,25
14,1
5,1
8,3
18,25
11,11
12,12
1,12
38,38
26,25
11,25
11,11
2,2
40,32
4,3
12,12
16,12
2,1
25,25
1,2
13,13
1,32
7,1
21,25
17,17
2,2
11,25
1,32
21,11
30,25
11,25
1,1
27,11
2,9
11,25
13,13
28,11
18,26
4,38
12,12
2,3
2,1
8,1
17,17
2,2
4,3
5,9
13,13
12,12
4,1
12,12
41,17
1,1
9,2
4,1
7,2
11,11
13,13
1,3
3,3
8,2
2,1
7,32
4,3
9,16
2,1
36,12
38,38
5,2
42,32
4,4
8,2
21,11
7,2
7,3
40,9
5,3
13,13
33,16
9,4
12,12
13,13
15,2
7,2
6,32
2,2
1,1
36,9
5,2
1,1
38,38
12,12
38,38
3,3
25,25
11,11
5,3
5,3
2,2
1,1
9,12
5,4
21,25
3,3
13,13
9,9
2,1
9,12
5,2
8,3
1,12
1,1
31,25
5,3
7,1
1,1
42,9
3,38
27,25
35,35
25,25
3,3
37,1
12,12
12,12
2,2
2,9
31,30
2,2
26,11
7,2
5,3
13,13
2,3
1,1
13,13
8,33
2,12
1,1
18,18
15,32
10,2
9,9
36,39
16,17
3,2
1,1
25,25
1,12
18,11
1,1
11,25
4,3
25,25
4,1
8,3
5,33
38,38
1,2
8,9
4,3
1,41
4,1
16,9
5,2
1,2
25,25
7,3
13,13
1,12
1,3
8,3
35,12
2,2
4,2
5,3
8,2
11,25
2,2
2,1
2,2
13,13
10,3
7,1
11,25
17,17
34,33
2,1
26,25
33,15
8,1
11,25
31,25
10,2
10,9
25,25
11,25
25,25
12,12
4,9
15,2
9,9
8,1
10,25
5,9
5,9
7,2
13,13
4,1
10,2
25,25
10,2
12,12
23,25
12,12
3,1
19,11
4,3
8,3
1,1
18,25
15,2
1,3
1,5
38,38
25,12
36,39
7,2
13,13
1,3
2,2
1,1
17,17
29,11
3,2
8,2
11,11
2,2
11,11
2,1
4,32
26,25
23,25
4,12
11,11
28,11
36,9
2,2
42,3
2,2
4,2
2,1
4,1
7,3
38,12
5,3
12,12
34,17
7,3
25,25
21,11
17,17
25,18
18,11
31,25
7,12
34,15
40,1
6,32
34,15
12,12
8,1
1,1
11,25
7,2
17,17
34,17
30,25
4,3
17,17
17,17
42,42
25,11
13,13
38,38
10,2
2,2
25,25
16,9
12,12
11,25
5,1
2,2
25,25
7,4
4,3
17,17
12,12
7,2
18,25
26,25
13,13
4,1
5,3
14,12
13,13
5,3
3,3
4,3
7,1
2,1
35,12
12,12
3,3
13,13
23,11
20,25
19,25
23,23
17,12
12,12
11,25
40,32
3,2
19,25
5,25
26,25
23,23
5,2
12,12
4,3
4,3
8,2
5,3
1,32
17,17
2,1
19,25
13,13
13,13
36,12
1,1
25,11
13,13
1,32
16,9
1,3
26,25
2,1
25,25
4,3
1,2
31,11
11,11
17,17
3,2
5,1
13,13
3,2
26,11
7,2
24,11
12,12
11,11
3,1
5,2
2,1
7,12
7,1
12,12
2,3
38,38
2,2
18,25
11,23
10,33
13,13
13,13
38,38
7,2
40,1
7,2
38,38
4,35
13,13
3,2
4,1
4,3
5,3
5,2
13,13
12,12
11,25
23,25
10,9
2,1
11,25
29,25
17,17
5,2
3,3
3,2
7,2
12,12
23,23
13,13
25,25
1,1
11,23
38,38
10,17
25,25
4,3
11,25
38,2
28,25
38,1
28,25
25,23
3,1
5,1
17,17
25,11
4,3
2,1
4,3
33,4
38,2
13,13
18,25
1,1
16,34
12,12
17,32
1,3
1,3
20,25
8,2
14,17
7,1
1,1
2,2
42,17
31,11
6,3
20,25
9,9
25,11
3,2
18,18
9,2
13,13
11,11
3,1
12,12
27,25
13,13
7,1
25,25
3,2
19,22
3,3
39,39
11,11
37,12
12,12
17,17
4,3
1,3
42,3
37,1
12,12
3,3
7,2
11,11
15,15
39,32
4,3
18,18
9,9
7,1
11,11
11,11
5,3
3,3
1,3
28,25
13,13
21,11
13,13
11,25
2,1
5,3
4,3
13,13
2,1
40,33
3,3
8,3
10,4
17,17
12,12
5,2
5,1
8,3
13,13
2,2
4,2
27,11
3,3
13,13
7,1
28,25
27,25
1,1
38,38
4,1
1,12
25,25
4,1
2,2
2,2
25,11
17,17
8,3
5,1
9,9
23,25
10,9
8,3
3,3
3,3
10,2
12,12
11,11
5,2
34,9
28,11
8,2
3,1
2,2
38,38
12,12
12,12
1,1
38,38
4,1
2,2
34,39
12,12
38,38
9,9
11,25
8,3
7,2
8,3
4,2
13,13
18,11
2,1
3,3
7,9
2,2
8,3
26,11
25,25
12,12
5,2
5,1
21,11
1,1
4,1
2,2
0,2
38,38
38,38
1,1
22,25
6,32
12,12
31,11
38,38
38,38
1,1
1,2
5,2
2,1
2,1
9,17
3,3
4,3
4,3
30,25
36,12
3,3
4,3
37,38
10,9
5,1
2,3
25,25
9,9
12,12
4,32
12,12
25,25
13,13
23,25
8,3
8,3
35,32
2,2
2,1
21,25
10,4
2,2
4,1
11,25
10,33
7,1
11,11
3,2
1,1
4,1
18,25
2,1
25,23
31,25
8,4
26,25
3,2
12,12
1,1
7,12
19,31
2,2
2,2
12,12
13,13
7,32
25,25
9,15
38,38
12,12
2,3
25,25
12,12
4,41
7,2
4,2
1,2
8,9
23,25
37,39
36,36
38,38
13,13
39,12
9,9
30,25
11,11
10,4
2,2
8,3
2,1
38,38
18,11
4,2
25,18
13,13
2,1
25,25
12,12
23,25
34,38
1,3
1,1
18,25
34,1
35,35
17,9
3,3
3,1
5,2
11,25
38,38
1,2
3,3
36,39
38,38
2,12
21,25
7,3
8,3
13,13
26,25
3,3
11,25
38,38
26,31
4,4
40,9
8,1
9,9
13,13
30,11
5,3
1,2
38,38
12,12
9,9
36,36
13,13
17,17
11,25
32,17
25,25
8,2
3,2
17,17
1,38
38,38
2,2
38,38
4,1
11,11
13,13
4,2
12,12
23,25
7,2
11,23
42,1
9,9
38,38
2,3
4,2
2,3
12,12
38,38
2,2
11,11
26,11
26,11
25,25
13,13
40,1
13,13
10,3
4,1
12,12
25,17
1,1
8,1
4,3
2,1
42,41
3,3
38,38
8,3
4,12
9,2
5,2
8,7
15,15
5,3
37,12
1,2
12,12
31,25
17,17
11,11
1,1
5,2
9,9
13,13
3,1
2,3
2,12
17,17
37,32
1,1
8,1
9,17
25,25
3,1
19,25
25,25
2,33
40,12
11,25
11,25
21,25
1,1
10,9
37,38
13,13
5,2
2,1
11,25
7,4
7,36
16,2
0,1
5,3
29,25
19,23
2,3
2,1
38,12
4,3
1,1
4,3
1,1
38,38
13,13
25,25
7,2
2,2
5,3
21,25
41,41
10,17
2,2
1,1
7,9
25,11
4,2
25,25
4,2
8,2
5,3
13,13
12,12
4,2
8,3
5,2
13,13
3,3
9,9
5,3
1,1
36,39
1,2
35,35
7,2
8,3
7,12
21,25
42,9
8,9
13,13
11,25
2,2
10,9
1,1
39,39
13,13
8,3
38,12
9,9
42,9
36,17
21,25
6,6
38,38
1,3
8,3
23,11
5,3
11,25
26,11
1,1
14,38
31,11
38,9
8,1
18,11
13,13
12,12
7,1
13,13
3,2
1,1
1,1
38,2
12,12
1,16
11,11
7,2
30,25
6,3
4,1
41,9
12,12
34,38
20,25
34,1
13,13
18,25
13,13
25,25
2,2
16,9
13,13
2,2
1,2
42,3
12,12
23,25
4,1
3,3
39,42
4,3
12,12
7,3
38,38
12,12
3,3
4,2
7,3
2,1
7,3
33,33
1,3
4,2
10,3
21,11
8,9
1,1
2,1
1,1
9,12
1,1
13,13
4,2
1,1
3,3
42,12
18,25
8,3
22,25
10,17
19,25
9,17
2,2
23,25
5,1
26,25
17,9
4,2
4,1
13,13
26,11
9,9
38,38
4,1
2,2
35,12
4,1
2,2
9,1
2,2
2,1
38,38
30,31
3,9
26,25
7,3
4,1
11,11
2,9
2,3
11,31
1,3
11,23
38,38
9,16
25,25
11,11
21,11
8,2
7,1
2,13
18,25
8,3
9,9
10,12
33,39
23,25
1,5
17,17
10,2
3,3
11,25
7,3
9,2
2,2
18,25
1,1
25,25
5,1
2,2
17,9
17,9
34,38
11,11
30,25
13,13
1,3
34,3
13,13
1,12
38,38
8,3
15,1
1,1
10,2
17,17
30,25
5,3
1,1
17,9
4,1
5,3
41,41
38,38
8,3
11,11
13,13
9,2
37,38
11,25
8,2
28,25
9,2
13,13
9,2
3,2
12,12
1,1
42,42
2,2
14,32
12,12
11,11
13,13
2,2
14,13
12,12
4,2
4,1
12,12
38,38
4,1
14,1
27,25
9,9
4,1
12,12
36,17
12,12
2,2
9,9
13,13
14,9
12,12
26,25
20,11
13,13
13,13
28,25
26,11
4,6
38,38
34,38
10,4
37,1
12,12
2,3
25,25
34,38
42,3
12,12
16,9
1,1
13,13
7,9
14,3
9,9
8,3
8,3
4,4
8,3
3,2
30,25
42,42
14,6
5,4
35,12
17,17
34,38
20,25
9,12
14,12
8,2
25,25
16,9
40,38
3,3
34,1
12,12
1,2
13,13
4,2
13,13
4,1
7,2
11,11
13,13
7,3
4,3
1,1
34,38
25,25
12,12
34,38
8,3
1,1
1,1
11,11
11,25
16,16
27,25
5,1
10,9
42,32
3,1
2,2
10,38
6,6
11,25
36,9
14,14
25,25
1,1
2,2
9,9
21,25
33,33
39,3
10,42
35,15
26,11
13,13
24,11
6,12
25,25
4,3
4,3
2,2
8,3
38,38
4,3
10,9
8,12
1,1
7,1
17,17
38,38
6,9
35,1
4,2
21,25
12,12
38,38
11,25
8,4
4,3
39,39
12,12
1,32
11,11
13,13
7,5
16,9
13,13
11,25
24,25
12,12
18,11
11,25
9,16
30,25
25,11
11,25
30,25
3,2
10,3
11,25
12,12
38,38
5,3
11,11
11,11
20,25
4,2
9,2
12,12
3,3
38,38
13,13
39,12
42,9
9,9
10,9
6,1
7,1
11,11
1,1
7,7
4,1
23,11
10,2
9,2
3,3
18,18
1,1
7,42
13,13
18,25
25,25
8,1
40,1
7,3
7,7
1,1
2,12
2,1
11,25
8,1
16,17
33,12
28,11
40,1
4,2
10,9
1,1
10,9
2,3
38,38
6,32
4,2
24,25
31,11
13,13
11,11
26,11
1,1
10,9
16,17
34,1
10,9
5,3
38,38
26,25
22,11
11,11
11,31
38,38
12,12
23,25
10,2
10,2
9,17
29,11
13,13
2,1
4,2
3,2
20,25
8,3
42,3
11,11
16,1
9,9
38,38
31,11
12,12
6,6
35,15
12,12
4,1
42,3
40,1
2,38
40,38
30,25
5,1
2,1
5,2
33,9
13,13
38,38
9,9
38,13
7,1
29,30
2,9
3,3
5,3
28,25
42,39
2,2
41,17
9,9
3,3
12,12
37,33
12,12
8,9
2,2
12,12
11,11
39,33
2,1
25,25
24,18
26,31
7,3
1,1
19,25
5,2
4,1
2,2
13,13
4,3
13,13
10,2
11,25
12,12
2,1
11,11
13,13
4,3
2,3
2,3
11,11
3,2
1,1
38,1
10,9
1,3
13,13
7,3
1,1
9,12
8,3
4,3
13,13
2,2
16,1
8,2
21,11
35,12
23,25
4,1
3,3
3,1
8,3
6,6
4,1
7,32
2,1
8,3
20,25
13,13
4,3
12,12
34,38
9,17
2,2
1,1
7,3
18,11
38,38
7,3
12,12
8,3
25,25
1,1
4,3
9,9
4,3
8,3
1,1
4,1
12,12
1,1
3,12
25,25
14,14
2,2
11,11
25,25
2,1
5,1
7,2
28,25
3,1
11,11
7,1
12,12
1,2
1,2
2,3
2,1
2,2
4,3
11,11
17,9
25,25
13,13
1,39
17,17
8,2
5,2
10,9
12,12
1,1
4,3
2,1
2,2
4,1
2,3
3,3
38,38
28,11
40,1
25,25
21,11
11,11
5,3
35,12
8,3
5,3
2,2
1,39
10,9
25,25
40,2
11,25
10,16
2,13
30,11
2,9
25,11
4,1
12,12
34,38
2,1
8,9
8,2
40,12
35,32
31,22
7,3
12,12
7,1
2,1
8,4
7,1
2,2
11,25
5,2
25,25
24,18
29,11
1,32
12,12
35,32
19,11
1,1
4,1
2,12
5,2
11,11
2,2
20,25
33,39
1,1
7,3
11,11
3,1
1,1
11,25
3,2
25,25
13,13
10,2
10,3
25,25
13,13
4,6
40,40
26,25
5,2
13,1
20,25
25,23
10,2
22,25
10,2
11,11
1,1
17,17
36,9
9,17
12,12
19,25
5,1
7,3
3,2
42,9
23,25
5,3
4,2
12,12
13,13
9,2
25,25
3,2
38,13
11,11
25,25
38,38
5,3
3,2
2,1
9,9
25,25
24,28
20,25
5,3
40,12
26,25
23,25
25,25
18,25
1,37
7,9
12,12
13,13
5,2
26,11
8,9
13,13
14,12
1,1
12,12
17,17
8,4
7,3
2,2
2,2
1,1
25,25
14,2
25,11
4,3
4,1
13,13
22,25
11,25
7,1
26,25
6,32
20,25
9,41
26,25
8,3
1,1
23,25
2,9
38,38
21,25
13,13
18,18
25,25
38,38
12,12
15,15
16,1
4,1
12,12
5,2
21,11
10,3
9,9
10,33
23,25
4,1
10,2
13,13
1,12
9,9
38,38
11,25
4,2
34,38
13,13
8,3
10,3
13,13
12,12
3,2
11,11
4,1
5,9
3,3
2,1
10,12
13,13
14,32
4,9
25,25
12,12
13,13
20,25
7,4
14,1
7,2
10,16
17,17
11,11
36,12
24,11
9,17
40,40
11,11
14,14
12,12
26,25
3,12
42,3
25,25
11,11
38,38
33,17
18,25
2,2
25,25
19,25
8,3
37,12
7,12
2,2
8,3
8,3
26,25
5,5
9,9
26,25
9,9
10,9
7,32
10,4
23,23
