id,ClassId
661,12
4477,2
1046,2
631,4
6533,5
2899,25
1941,38
5749,4
588,23
1333,5
5826,18
7493,10
4306,4
3429,11
1191,8
4076,11
1601,11
2183,5
4214,38
5366,24
5434,1
6709,4
2421,34
4247,6
5722,10
1115,24
1730,11
6673,2
156,23
2011,2
4416,38
4661,8
6511,4
4411,2
821,16
6246,40
3934,4
5711,38
3233,18
3738,28
4561,25
3780,11
6288,5
3115,13
7155,5
7603,38
1932,13
6387,1
6001,11
4376,25
2393,17
5025,2
660,33
7634,19
1978,7
2398,7
2826,8
2679,28
1466,13
1953,5
3887,14
5681,17
2945,1
2481,13
6552,40
6096,8
1969,3
5544,25
133,2
2313,1
5148,3
3875,8
1050,1
960,5
721,1
2129,2
6395,2
4106,2
1809,8
1882,10
6491,9
7103,7
2490,12
2810,12
3378,20
2922,5
269,8
4468,26
1162,13
6523,4
2106,5
5505,14
3292,4
6605,34
3836,22
1188,6
5752,11
2627,4
3829,4
3616,2
1085,18
214,26
5685,25
5261,25
879,38
4070,34
5183,5
459,4
5777,10
4532,8
3973,2
6037,42
2278,8
2687,38
1388,1
6664,20
966,11
731,8
1808,5
7703,25
5302,7
5622,10
2637,35
5146,26
3617,4
5720,40
5260,25
7490,8
2428,3
7268,18
6915,10
5690,25
6363,11
3527,13
4800,1
1167,5
3993,5
93,3
7816,2
1116,12
6634,21
6411,12
6616,23
6299,11
1866,11
7400,38
4527,38
1528,7
7801,7
218,30
3487,26
6009,3
1686,11
4248,7
5258,25
3236,5
5489,31
6993,14
6925,2
3221,1
7668,3
4051,25
4200,7
5321,38
5835,38
3305,9
5628,25
7121,24
7601,21
4013,11
540,4
4568,10
2281,7
4550,5
4308,30
3768,13
7774,8
6198,2
7717,2
6145,13
3301,12
2139,2
3702,8
1794,36
4460,3
4301,40
4590,4
6147,35
1410,2
6090,12
3237,3
1934,4
4274,4
2560,4
7450,9
3150,11
1019,13
5798,5
6563,3
4595,5
4179,36
7684,5
7329,7
4963,1
246,25
4914,2
1107,13
4038,7
1278,21
6366,39
1681,4
5522,2
7700,11
5959,12
6868,9
1395,11
6115,2
5638,36
6055,15
3373,25
1993,10
2383,14
4570,16
6988,13
5950,2
3783,42
7571,2
7102,13
6711,1
49,38
4062,3
1408,38
7191,14
5324,11
2777,2
5374,4
3084,3
1146,2
257,25
2682,2
4973,1
2172,8
761,8
6817,23
689,9
655,18
4029,11
6140,8
5571,3
1468,1
3522,5
3076,10
4412,13
335,18
6146,38
4519,2
2025,4
2921,12
5526,1
4988,13
4856,38
3120,8
3100,25
1049,4
2537,7
3269,21
3954,2
5192,25
7577,38
1393,11
4699,2
4128,12
3752,25
598,38
7110,7
6289,7
3026,30
2047,26
871,7
150,2
1053,2
271,4
2900,4
6989,26
4658,1
4309,16
4122,17
908,3
5157,38
6448,12
6092,4
3695,26
853,42
7369,11
3230,2
1226,7
5673,25
4167,5
3576,26
4110,7
5182,36
1465,38
2425,7
7676,20
1944,25
6992,29
5129,4
5398,3
6936,38
1745,3
3050,12
1074,25
3553,1
1148,2
129,5
5801,1
2423,36
896,3
7611,24
276,7
7596,12
2063,11
4520,8
2834,1
3610,11
7808,13
1719,5
3252,5
2364,12
1420,7
3079,36
1632,4
1108,2
1297,1
503,9
2722,13
6942,16
3663,10
7307,23
37,8
4774,3
3764,1
6719,25
2968,42
6286,10
2178,1
5886,5
920,13
2157,12
4627,1
4576,17
3168,2
2014,13
5423,5
7772,10
1284,13
2124,25
4134,12
3475,13
1999,1
3501,12
1772,11
1032,17
7541,4
1149,7
1322,26
189,25
1718,1
5724,3
4778,12
4773,3
1181,38
1853,4
6878,38
7447,10
94,19
4993,9
6666,7
970,10
5732,20
726,42
5735,11
44,9
6996,5
1506,10
5384,23
3855,41
3714,1
1773,4
2774,4
5862,9
3719,2
4298,2
250,23
2535,11
4404,11
6869,2
2568,2
7499,11
2275,11
4560,7
6808,25
6949,5
6967,9
3925,18
1305,7
1505,2
3689,2
6609,1
607,5
233,12
1090,4
5300,28
2648,7
2756,23
1469,3
3254,21
4382,38
4077,5
6979,23
7483,2
7157,16
4504,13
4711,12
3524,4
7542,9
6663,4
5757,2
4232,13
6637,1
4408,5
3056,9
3136,38
5878,10
3421,1
3118,7
2773,9
2974,4
3781,10
2467,1
644,1
4429,11
858,25
4385,18
3436,11
7651,30
7024,11
1519,2
1059,4
7715,11
1587,12
3451,9
95,18
860,23
4866,2
543,13
119,10
392,1
1665,6
1372,26
3711,7
7044,36
1320,25
7785,9
5084,2
3141,25
4321,31
1716,11
6133,40
4108,12
4188,7
4757,35
4715,5
4185,3
3329,13
4486,11
6409,14
2656,5
446,8
4897,18
6961,11
5601,12
2835,1
89,38
1936,26
6449,11
3970,11
6352,2
6460,40
7477,4
3461,12
3046,16
6308,2
2811,25
602,1
5949,13
6101,1
3209,7
1947,21
290,17
5373,2
4883,11
733,1
5124,21
6057,30
7343,11
670,1
5193,27
1793,2
3932,11
3401,13
3569,28
6631,18
4551,4
1346,12
4055,2
4569,2
3469,8
7319,17
3612,2
5457,4
7220,5
5967,13
2376,12
4854,4
2187,12
1212,41
5552,1
500,9
7264,4
7724,7
3231,11
1411,13
5890,1
448,3
5431,8
1523,2
4088,7
5965,4
7391,9
5653,2
4037,36
642,38
2915,5
7271,42
7205,4
3971,8
2860,21
210,7
1588,7
185,40
5942,5
1687,13
2422,33
7452,9
5774,12
7569,13
454,15
5067,7
5649,6
1307,2
30,1
4244,36
159,5
6927,1
2488,38
4783,12
7020,38
6558,3
1424,25
5793,11
4271,5
6976,5
4476,2
863,1
3901,9
3002,5
4743,21
499,3
4030,13
5556,9
5932,2
4791,9
4153,5
5166,8
3811,1
2237,1
5768,31
5843,5
5609,7
4444,1
6335,42
3222,3
3682,27
5289,35
4323,25
4120,3
7126,37
6047,12
5623,12
5657,2
6948,2
3243,31
2026,2
1111,26
4317,7
7648,5
4240,13
6027,2
3496,1
7449,13
1061,8
4782,2
3163,1
6826,18
6105,15
5716,10
5993,9
3042,36
5227,16
475,3
728,1
6502,25
1497,1
4923,18
547,1
6163,11
4815,4
7081,25
1478,4
3392,8
1370,5
3409,38
348,1
2825,8
1013,4
6632,1
3239,4
3096,16
1375,5
6568,1
2037,25
6613,7
3825,13
6882,1
6252,1
6005,8
366,35
5734,2
3242,4
2605,5
2717,8
6442,11
7013,2
4499,2
4835,2
5931,13
7381,10
3408,7
3302,11
2838,17
262,34
5131,2
3155,26
2464,33
7775,8
4160,11
6642,31
3156,10
443,10
6405,25
3821,11
1486,25
7435,12
1091,4
3341,15
1348,9
2092,8
6797,10
6370,5
7512,5
787,7
6946,13
3625,4
5464,10
1172,25
2764,10
6969,12
5189,23
3762,12
3545,3
2976,19
7375,4
3135,8
3716,1
3604,18
6102,15
2653,1
7291,1
4881,38
6965,25
6416,36
7661,7
2260,13
6428,1
3226,2
64,1
678,17
5499,29
4495,3
1816,8
2373,11
1801,2
5636,11
7654,2
6036,4
3427,26
5470,23
5688,4
6588,11
1593,28
4148,36
561,2
2855,42
7767,2
7776,4
5090,2
6785,4
1112,7
6221,38
154,5
2367,12
5733,34
5756,7
4754,25
409,21
6279,17
846,25
3175,18
4597,31
3173,7
7027,34
1301,40
5133,6
1894,34
5091,12
7149,8
4553,1
7555,11
2684,7
1048,17
552,34
488,30
6082,4
7551,17
7798,17
6325,42
3653,25
3316,13
57,38
3529,10
5158,2
864,25
7348,16
340,12
5542,11
3339,5
7315,2
4455,25
3799,7
4642,4
628,17
6006,12
4310,7
4750,18
425,26
4502,13
6058,4
2862,5
4333,14
3102,13
4714,5
3028,3
5913,4
1704,7
6113,2
611,35
7669,12
3500,3
4340,13
802,23
2547,20
2388,19
1201,23
4940,17
3504,12
103,11
6322,40
5600,3
7289,19
7037,5
1921,26
3190,23
805,5
4670,12
1219,4
590,4
6103,8
7374,5
6374,1
4981,17
1102,2
4674,19
4371,13
7350,13
1685,36
5459,1
3904,25
7279,13
1286,1
6777,16
4002,1
6651,26
6966,2
7413,25
1851,4
5093,1
3828,31
1480,11
4864,17
1464,3
4482,5
2426,13
994,3
1885,26
6791,7
7061,24
1654,12
7188,11
7666,3
6195,5
799,2
3990,7
3866,7
827,12
2229,2
4074,38
3732,2
718,18
4025,11
4393,10
6194,13
2937,13
7752,38
5918,7
2791,40
5568,7
6329,38
2528,4
42,13
423,3
6960,4
6559,4
199,5
7398,5
3450,13
7731,12
511,11
5486,23
7548,10
6899,2
3104,11
2521,29
3318,17
5516,5
3279,3
4398,3
2020,7
880,12
1211,23
3643,13
571,25
3040,1
4184,11
2864,38
6157,10
5472,25
606,4
4426,11
3142,38
6454,28
3871,38
725,28
2577,25
295,3
7001,5
4100,17
6357,25
7003,4
1981,2
2538,4
7825,33
1081,38
457,13
258,18
3578,1
1555,16
5532,12
157,17
1017,1
3064,1
7559,20
4917,8
2358,14
6620,7
3801,1
6208,2
5407,42
3765,31
2195,6
5266,20
2127,9
3850,25
4985,3
7837,18
4734,9
1335,13
3959,11
4727,3
2795,12
7766,27
972,13
4103,7
7052,25
7393,3
7600,19
3225,3
559,39
6097,11
3215,37
5665,12
1265,17
4953,4
6879,1
2053,42
2767,37
208,12
1911,3
1522,7
2848,11
3769,15
3265,39
653,4
5701,18
5629,9
5726,7
2602,11
2844,11
3317,5
1621,3
1084,1
2034,28
5534,13
1179,21
5620,13
6652,11
3984,2
2295,5
703,4
5759,13
3806,2
1917,40
1508,3
480,8
6377,10
2005,17
5037,12
3205,5
558,5
3704,8
1031,13
421,2
4779,4
7175,27
3839,3
7245,13
5804,7
2283,28
3452,27
114,1
1990,38
7063,4
6951,1
3599,25
4318,4
1316,2
5763,2
4831,25
2872,17
3615,8
3137,5
7360,9
1124,23
4034,10
7694,8
6173,3
2078,3
3570,10
1984,12
2149,11
6534,5
3361,34
3941,28
7618,8
4947,3
991,2
4677,38
7183,12
5033,12
2748,1
7388,38
7549,4
1827,2
20,34
4285,12
3364,38
3774,9
4563,11
3391,8
6602,7
5492,8
2916,4
1694,13
3923,18
7341,2
7444,3
3785,7
3127,2
5408,8
2985,26
7560,25
1339,12
5224,5
296,5
3558,21
3484,1
1566,4
3116,2
4151,0
6189,38
4621,38
3849,1
1097,22
7664,6
4336,12
6258,31
763,38
5055,38
5771,1
7028,1
2831,5
2142,2
693,2
5507,9
4939,3
4415,4
5528,4
1488,30
2262,36
336,3
407,4
6682,37
3712,10
1044,5
3048,2
4467,25
4494,9
3912,12
1586,4
5910,12
2530,25
6380,13
2046,23
4738,8
5919,8
5401,35
7379,2
6445,2
3270,21
6,10
439,2
351,4
828,11
883,10
5424,7
2735,11
3472,3
1040,1
2940,4
4972,18
5559,2
5674,25
5696,31
7518,8
6805,26
248,3
7250,12
2799,1
1443,7
2254,19
3921,2
7049,2
4753,12
1645,13
6931,7
91,25
2691,9
6323,38
155,12
6441,2
4474,25
1451,12
7587,4
6073,7
7046,4
142,1
7615,8
7062,23
420,37
5508,36
1199,38
3594,13
6755,39
6950,9
4770,30
4645,11
7373,10
6840,2
432,8
484,2
3709,38
3387,18
4720,4
2314,25
777,13
410,2
5106,25
4174,12
5081,23
984,34
179,1
3750,1
7500,18
5162,34
3571,35
2640,17
4513,3
1292,3
7469,5
692,11
2689,38
4710,1
7210,3
5747,36
3384,38
2412,2
5071,21
6829,7
3948,8
7231,13
7417,26
6328,3
3199,11
7667,38
