id,ClassId
661,12
4477,32
1046,2
631,3
6533,3
2899,25
1941,38
5749,1
588,25
1333,1
5826,25
7493,9
4306,3
3429,25
1191,9
4076,23
1601,25
2183,3
4214,9
5366,25
5434,1
6709,1
2421,38
4247,6
5722,2
1115,25
1730,11
6673,17
156,25
2011,3
4416,38
4661,3
6511,3
4411,33
821,17
6246,33
3934,2
5711,38
3233,25
3738,11
4561,25
3780,11
6288,1
3115,13
7155,3
7603,38
1932,13
6387,1
6001,25
4376,25
2393,17
5025,12
660,33
7634,11
1978,3
2398,12
2826,2
2679,22
1466,13
1953,1
3887,14
5681,17
2945,3
2481,13
6552,1
6096,2
1969,3
5544,25
133,1
2313,1
5148,3
3875,9
1050,1
960,1
721,3
2129,12
6395,1
4106,2
1809,1
1882,9
6491,17
7103,9
2490,12
2810,12
3378,25
2922,3
269,3
4468,11
1162,13
6523,4
2106,1
5505,1
3292,12
6605,12
3836,25
1188,3
5752,11
2627,3
3829,1
3616,2
1085,11
214,25
5685,25
5261,25
879,38
4070,15
5183,2
459,3
5777,33
4532,3
3973,3
6037,42
2278,3
2687,38
1388,39
6664,25
966,25
731,2
1808,5
7703,25
5302,3
5622,9
2637,33
5146,25
3617,17
5720,1
5260,25
7490,2
2428,3
7268,11
6915,15
5690,25
6363,25
3527,13
4800,1
1167,3
3993,4
93,3
7816,12
1116,12
6634,11
6411,12
6616,11
6299,11
1866,25
7400,2
4527,38
1528,3
7801,1
218,25
3487,25
6009,3
1686,25
4248,1
5258,25
3236,3
5489,25
6993,14
6925,2
3221,1
7668,3
4051,25
4200,1
5321,38
5835,1
3305,9
5628,25
7121,25
7601,11
4013,11
540,1
4568,2
2281,38
4550,4
4308,11
3768,13
7774,2
6198,1
7717,2
6145,13
3301,12
2139,1
3702,2
1794,2
4460,2
4301,17
4590,1
6147,35
1410,2
6090,12
3237,2
1934,1
4274,3
2560,1
7450,17
3150,25
1019,13
5798,2
6563,3
4595,3
4179,12
7684,38
7329,3
4963,1
246,25
4914,2
1107,13
4038,3
1278,11
6366,3
1681,3
5522,2
7700,11
5959,12
6868,3
1395,11
6115,9
5638,32
6055,12
3373,25
1993,9
2383,3
4570,1
6988,13
5950,3
3783,9
7571,1
7102,13
6711,1
49,38
4062,2
1408,38
7191,3
5324,25
2777,9
5374,3
3084,3
1146,2
257,25
2682,2
4973,1
2172,9
761,1
6817,25
689,9
655,25
4029,11
6140,3
5571,1
1468,1
3522,2
3076,9
4412,13
335,25
6146,38
4519,2
2025,2
2921,12
5526,3
4988,13
4856,38
3120,42
3100,25
1049,3
2537,7
3269,11
3954,12
5192,25
7577,38
1393,11
4699,1
4128,12
3752,25
598,1
7110,12
6289,38
3026,25
2047,11
871,2
150,2
1053,2
271,3
2900,3
6989,25
4658,12
4309,16
4122,17
908,3
5157,38
6448,12
6092,3
3695,25
853,3
7369,11
3230,3
1226,3
5673,25
4167,1
3576,25
4110,3
5182,12
1465,38
2425,2
7676,25
1944,25
6992,23
5129,3
5398,2
6936,38
1745,3
3050,12
1074,25
3553,1
1148,2
129,3
5801,1
2423,42
896,1
7611,11
276,2
7596,38
2063,25
4520,1
2834,1
3610,25
7808,13
1719,3
3252,1
2364,12
1420,12
3079,12
1632,1
1108,1
1297,1
503,12
2722,13
6942,16
3663,4
7307,25
37,3
4774,3
3764,9
6719,25
2968,42
6286,9
2178,3
5886,3
920,13
2157,12
4627,1
4576,17
3168,2
2014,13
5423,2
7772,2
1284,13
2124,25
4134,12
3475,13
1999,1
3501,12
1772,25
1032,17
7541,1
1149,1
1322,25
189,25
1718,1
5724,2
4778,12
4773,3
1181,38
1853,2
6878,38
7447,9
94,11
4993,9
6666,3
970,32
5732,25
726,42
5735,11
44,9
6996,5
1506,3
5384,25
3855,41
3714,3
1773,3
2774,2
5862,1
3719,2
4298,12
250,25
2535,25
4404,25
6869,3
2568,2
7499,11
2275,11
4560,2
6808,25
6949,1
6967,9
3925,11
1305,3
1505,2
3689,2
6609,1
607,9
233,12
1090,2
5300,25
2648,12
2756,11
1469,3
3254,11
4382,38
4077,1
6979,23
7483,1
7157,1
4504,13
4711,12
3524,1
7542,9
6663,1
5757,1
4232,13
6637,1
4408,1
3056,2
3136,38
5878,2
3421,1
3118,1
2773,16
2974,3
3781,2
2467,1
644,1
4429,11
858,25
4385,11
3436,11
7651,11
7024,11
1519,12
1059,3
7715,25
1587,12
3451,9
95,25
860,25
4866,33
543,13
119,25
392,12
1665,1
1372,11
3711,5
7044,39
1320,25
7785,9
5084,1
3141,25
4321,11
1716,25
6133,15
4108,12
4188,3
4757,35
4715,3
4185,1
3329,13
4486,25
6409,1
2656,1
446,3
4897,25
6961,11
5601,12
2835,12
89,38
1936,25
6449,25
3970,11
6352,2
6460,32
7477,3
3461,12
3046,12
6308,1
2811,25
602,2
5949,13
6101,32
3209,1
1947,25
290,17
5373,2
4883,25
733,32
5124,11
6057,25
7343,25
670,1
5193,11
1793,9
3932,25
3401,13
3569,11
6631,26
4551,38
1346,12
4055,3
4569,1
3469,1
7319,17
3612,2
5457,3
7220,9
5967,13
2376,12
4854,1
2187,12
1212,17
5552,1
500,2
7264,1
7724,2
3231,11
1411,13
5890,3
448,3
5431,2
1523,1
4088,32
5965,3
7391,16
