id,ClassId
661,28
4477,16
1046,21
631,3
6533,5
2899,8
1941,5
5749,1
588,12
1333,5
5826,1
7493,12
4306,17
3429,23
1191,1
4076,12
1601,13
2183,38
4214,29
5366,2
5434,22
6709,4
2421,1
4247,2
5722,17
1115,2
1730,11
6673,2
156,25
2011,1
4416,10
4661,11
6511,16
4411,3
821,2
6246,1
3934,35
5711,2
3233,2
3738,23
4561,25
3780,11
6288,10
3115,13
7155,4
7603,7
1932,32
6387,14
6001,20
4376,9
2393,38
5025,39
660,3
7634,12
1978,5
2398,2
2826,13
2679,11
1466,17
1953,5
3887,1
5681,13
2945,2
2481,4
6552,12
6096,2
1969,9
5544,28
133,18
2313,1
5148,4
3875,4
1050,3
960,1
721,2
2129,23
6395,1
4106,16
1809,4
1882,31
6491,1
7103,12
2490,13
2810,25
3378,38
2922,8
269,1
4468,2
1162,2
6523,10
2106,9
5505,1
3292,5
6605,9
3836,5
1188,9
5752,2
2627,2
3829,7
3616,14
1085,23
214,11
5685,11
5261,18
879,23
4070,13
5183,7
459,6
5777,1
4532,30
3973,10
6037,4
2278,5
2687,8
1388,38
6664,5
966,7
731,27
1808,5
7703,20
5302,4
5622,35
2637,11
5146,11
3617,17
5720,7
5260,22
7490,7
2428,4
7268,34
6915,23
5690,23
6363,39
3527,12
4800,4
1167,11
3993,5
93,10
7816,11
1116,33
6634,26
6411,13
6616,1
6299,21
1866,19
7400,12
4527,5
1528,9
7801,5
218,12
3487,23
6009,10
1686,11
4248,5
5258,18
3236,5
5489,31
6993,21
6925,7
3221,13
7668,9
4051,12
4200,20
5321,2
5835,4
3305,38
5628,18
7121,11
7601,23
4013,23
540,2
4568,8
2281,13
4550,10
4308,8
3768,15
7774,13
6198,1
7717,5
6145,8
3301,40
2139,34
3702,40
1794,10
4460,9
4301,13
4590,14
6147,37
1410,7
6090,1
3237,3
1934,10
4274,15
2560,21
7450,11
3150,1
1019,12
5798,1
6563,26
4595,40
4179,24
7684,40
7329,1
4963,41
246,11
4914,5
1107,13
4038,8
1278,11
6366,1
1681,1
5522,22
7700,21
5959,32
6868,4
1395,23
6115,2
5638,17
6055,13
3373,4
1993,2
2383,2
4570,35
6988,20
5950,4
3783,8
7571,40
7102,7
6711,1
49,2
4062,5
1408,8
7191,11
5324,5
2777,2
5374,22
3084,12
1146,8
257,11
2682,14
4973,24
2172,9
761,10
6817,8
689,33
655,10
4029,21
6140,8
5571,1
1468,2
3522,4
3076,10
4412,8
335,4
6146,13
4519,29
2025,13
2921,2
5526,2
4988,13
4856,11
3120,3
3100,11
1049,5
2537,10
3269,12
3954,23
5192,2
7577,5
1393,2
4699,1
4128,2
3752,2
598,22
7110,37
6289,14
3026,21
2047,28
871,4
150,36
1053,11
271,1
2900,8
6989,3
4658,9
4309,4
4122,12
908,5
5157,3
6448,4
6092,1
3695,12
853,4
7369,20
3230,8
1226,4
5673,8
4167,7
3576,11
4110,3
5182,17
1465,38
2425,5
7676,31
1944,2
6992,5
5129,4
5398,9
6936,35
1745,28
3050,23
1074,25
3553,2
1148,13
129,4
5801,16
2423,4
896,18
7611,18
276,13
7596,35
2063,3
4520,29
2834,40
3610,18
7808,18
1719,0
3252,41
2364,9
1420,25
3079,32
1632,2
1108,40
1297,14
503,8
2722,13
6942,25
3663,8
7307,31
37,10
4774,1
3764,11
6719,25
2968,4
6286,10
2178,2
5886,8
920,12
2157,12
4627,7
4576,2
3168,2
2014,12
5423,2
7772,22
1284,35
2124,8
4134,12
3475,40
1999,10
3501,25
1772,26
1032,5
7541,5
1149,1
1322,11
189,11
1718,0
5724,5
4778,35
4773,2
1181,11
1853,10
6878,5
7447,8
94,9
4993,1
6666,17
970,4
5732,1
726,8
5735,4
44,25
6996,3
1506,12
5384,5
3855,7
3714,4
1773,15
2774,13
5862,9
3719,33
4298,35
250,4
2535,38
4404,11
6869,10
2568,0
7499,8
2275,2
4560,35
6808,8
6949,8
6967,12
3925,20
1305,7
1505,14
3689,14
6609,38
607,12
233,3
1090,2
5300,14
2648,13
2756,28
1469,2
3254,34
4382,11
4077,27
6979,9
7483,39
7157,3
4504,11
4711,32
3524,38
7542,13
6663,12
5757,1
4232,4
6637,7
4408,2
3056,38
3136,1
5878,15
3421,18
3118,2
2773,18
2974,24
3781,2
2467,1
644,2
4429,28
858,10
4385,11
3436,30
7651,11
7024,11
1519,5
1059,2
7715,23
1587,22
3451,35
95,11
860,25
4866,39
543,3
119,4
392,33
1665,22
1372,12
3711,5
7044,8
1320,35
7785,1
5084,5
3141,36
4321,1
1716,2
6133,1
4108,12
4188,1
4757,38
4715,2
4185,34
3329,12
4486,8
6409,38
2656,5
446,13
4897,23
6961,2
5601,1
2835,10
89,5
1936,34
6449,33
3970,12
6352,7
6460,1
7477,2
3461,1
3046,13
6308,35
2811,8
602,5
5949,13
6101,11
3209,23
1947,35
290,9
5373,21
4883,27
733,5
5124,1
6057,18
7343,36
670,11
5193,24
1793,10
3932,25
3401,33
3569,2
6631,12
4551,35
1346,5
4055,1
4569,1
3469,23
7319,32
3612,38
5457,13
7220,1
5967,9
2376,23
4854,4
2187,22
1212,4
5552,34
500,2
7264,4
7724,2
3231,7
1411,12
5890,38
448,12
5431,2
1523,3
4088,7
5965,8
7391,13
5653,16
4037,4
642,25
2915,3
7271,27
7205,13
3971,9
2860,2
210,22
1588,30
185,12
5942,7
1687,1
2422,18
7452,34
5774,2
7569,21
454,14
5067,1
5649,20
1307,4
30,2
4244,23
159,8
6927,2
2488,5
4783,17
7020,1
6558,4
1424,11
5793,28
4271,25
6976,29
4476,15
863,9
3901,40
3002,12
4743,28
499,10
4030,13
5556,11
5932,2
4791,35
4153,2
5166,10
3811,18
2237,14
5768,31
5843,3
5609,4
4444,14
6335,8
3222,1
3682,37
5289,32
4323,24
4120,8
7126,38
6047,1
5623,15
5657,2
6948,5
3243,31
2026,2
1111,20
4317,2
7648,7
4240,7
6027,14
3496,7
7449,2
1061,3
4782,35
3163,2
6826,20
6105,36
5716,13
5993,32
3042,3
5227,3
475,14
728,2
6502,1
1497,4
4923,21
547,8
6163,11
4815,29
7081,18
1478,2
3392,10
1370,31
3409,38
348,1
2825,38
1013,5
6632,38
3239,3
3096,9
1375,12
6568,14
2037,8
6613,10
3825,12
6882,27
6252,2
6005,11
366,2
5734,14
3242,12
2605,17
2717,9
6442,20
7013,14
4499,33
4835,23
5931,13
7381,5
3408,41
3302,1
2838,2
262,2
5131,27
3155,5
2464,3
7775,1
4160,34
6642,31
3156,10
443,1
6405,2
3821,28
1486,25
7435,30
1091,14
3341,41
1348,17
2092,2
6797,18
6370,8
7512,9
787,12
6946,2
3625,5
5464,17
1172,24
2764,8
6969,32
5189,8
3762,13
3545,8
2976,18
7375,8
3135,8
3716,1
3604,4
6102,40
2653,9
7291,2
4881,5
6965,38
6416,11
7661,5
2260,4
6428,2
3226,3
64,2
678,28
5499,11
4495,30
1816,5
2373,9
1801,11
5636,22
7654,1
6036,40
3427,11
5470,10
5688,25
6588,15
1593,11
4148,18
561,2
2855,8
7767,30
7776,14
5090,21
6785,12
1112,4
6221,33
154,10
2367,36
5733,38
5756,1
4754,24
409,11
6279,11
846,23
3175,10
4597,4
3173,13
7027,2
1301,3
5133,3
1894,1
5091,25
7149,1
4553,18
7555,23
2684,17
1048,21
552,4
