id,ClassId
661,12
4477,33
1046,2
631,2
6533,3
2899,25
1941,38
5749,4
588,26
1333,1
5826,18
7493,10
4306,4
3429,30
1191,8
4076,15
1601,22
2183,4
4214,14
5366,24
5434,3
6709,1
2421,38
4247,14
5722,10
1115,20
1730,27
6673,2
156,25
2011,38
4416,10
4661,5
6511,2
4411,23
821,17
6246,40
3934,1
5711,38
3233,11
3738,28
4561,25
3780,26
6288,1
3115,13
7155,8
7603,38
1932,13
6387,1
6001,27
4376,27
2393,17
5025,1
660,35
7634,21
1978,34
2398,38
2826,7
2679,11
1466,13
1953,15
3887,34
5681,17
2945,3
2481,13
6552,40
6096,10
1969,2
5544,26
133,1
2313,2
5148,3
3875,10
1050,1
960,5
721,4
2129,1
6395,9
4106,5
1809,8
1882,10
6491,9
7103,17
2490,12
2810,12
3378,20
2922,4
269,3
4468,21
1162,13
6523,4
2106,1
5505,14
3292,4
6605,12
3836,22
1188,2
5752,11
2627,10
3829,2
3616,2
1085,26
214,24
5685,25
5261,25
879,38
4070,35
5183,1
459,5
5777,10
4532,5
3973,3
6037,42
2278,8
2687,38
1388,1
6664,20
966,11
731,3
1808,5
7703,11
5302,7
5622,17
2637,35
5146,11
3617,9
5720,1
5260,25
7490,10
2428,3
7268,18
6915,7
5690,18
6363,2
3527,13
4800,5
1167,2
3993,8
93,4
7816,12
1116,12
6634,29
6411,12
6616,21
6299,11
1866,26
7400,1
4527,38
1528,3
7801,8
218,30
3487,26
6009,4
1686,23
4248,2
5258,25
3236,5
5489,31
6993,11
6925,1
3221,2
7668,3
4051,26
4200,1
5321,38
5835,34
3305,9
5628,18
7121,24
7601,23
4013,28
540,4
4568,10
2281,7
4550,4
4308,18
3768,13
7774,10
6198,1
7717,2
6145,13
3301,12
2139,9
3702,1
1794,9
4460,2
4301,17
4590,5
6147,18
1410,3
6090,12
3237,2
1934,3
4274,4
2560,1
7450,17
3150,20
1019,13
5798,2
6563,3
4595,9
4179,12
7684,38
7329,4
4963,1
246,31
4914,1
1107,13
4038,3
1278,28
6366,14
1681,14
5522,4
7700,11
5959,12
6868,14
