id,ClassId
661,12
4477,9
1046,15
631,8
6533,1
2899,22
1941,38
5749,4
588,24
1333,5
5826,25
7493,10
4306,7
3429,25
1191,10
4076,23
1601,23
2183,4
4214,1
5366,28
5434,38
6709,4
2421,34
4247,14
5722,9
1115,25
1730,11
6673,17
156,25
2011,38
4416,34
4661,5
6511,2
4411,14
821,17
6246,33
3934,2
5711,38
3233,11
3738,11
4561,22
3780,24
6288,5
3115,13
7155,8
7603,38
1932,13
6387,1
6001,22
4376,26
2393,17
5025,1
660,34
7634,11
1978,34
2398,3
2826,4
2679,22
1466,13
1953,1
3887,39
5681,17
2945,1
2481,13
6552,40
6096,10
1969,5
5544,11
133,1
2313,4
5148,3
3875,10
1050,1
960,8
721,3
2129,1
6395,2
4106,8
1809,7
1882,10
6491,9
7103,9
2490,12
2810,36
3378,42
2922,4
269,4
4468,21
1162,13
6523,8
2106,2
5505,4
3292,4
6605,16
3836,27
1188,4
5752,11
2627,5
3829,2
3616,2
1085,11
214,24
5685,11
5261,23
879,38
4070,34
5183,2
459,3
5777,10
4532,38
3973,7
6037,33
2278,4
2687,34
1388,40
6664,20
966,11
731,2
1808,5
7703,11
5302,7
5622,9
2637,33
5146,18
3617,33
5720,4
5260,11
7490,10
2428,3
7268,18
6915,7
5690,18
6363,11
3527,13
4800,5
1167,3
3993,8
93,4
7816,38
1116,12
6634,31
6411,12
6616,11
6299,31
1866,27
7400,1
4527,34
1528,40
7801,4
218,30
3487,24
6009,4
1686,11
4248,2
5258,25
3236,3
5489,31
6993,37
6925,2
3221,37
7668,5
4051,27
4200,1
5321,38
5835,40
3305,9
5628,25
7121,27
7601,11
4013,11
540,4
4568,10
2281,7
4550,8
4308,30
3768,13
7774,8
6198,1
7717,7
6145,33
3301,12
2139,9
3702,4
1794,2
4460,2
4301,17
4590,0
6147,35
1410,2
6090,12
3237,2
1934,4
4274,4
2560,4
7450,17
3150,20
1019,13
5798,2
6563,3
4595,38
4179,33
7684,38
7329,8
4963,1
246,31
4914,2
1107,13
4038,5
1278,11
6366,4
1681,4
5522,2
7700,21
5959,12
6868,15
1395,11
6115,9
5638,42
6055,14
3373,25
1993,9
2383,3
4570,37
6988,13
5950,5
3783,42
7571,1
7102,13
6711,1
49,34
4062,2
1408,34
7191,3
5324,18
2777,10
5374,4
3084,3
1146,2
257,18
2682,2
4973,1
2172,7
761,16
6817,30
689,9
655,18
4029,11
6140,8
5571,40
1468,4
3522,2
3076,10
4412,13
335,28
6146,38
4519,2
2025,4
2921,12
5526,4
4988,13
4856,38
3120,10
3100,11
1049,4
2537,7
3269,11
3954,15
5192,28
7577,34
1393,11
4699,1
4128,12
3752,25
598,1
7110,16
6289,38
3026,11
2047,11
871,7
150,2
1053,40
271,4
2900,4
6989,25
4658,40
4309,10
4122,17
908,5
5157,38
6448,12
6092,1
3695,27
853,42
7369,23
3230,5
1226,8
5673,25
4167,2
3576,26
4110,8
5182,40
1465,38
2425,8
7676,20
1944,25
6992,20
5129,8
5398,2
6936,34
1745,5
3050,12
1074,27
3553,1
1148,5
129,5
5801,1
2423,33
896,1
7611,24
276,7
7596,38
2063,23
4520,4
2834,1
3610,28
7808,13
1719,3
3252,1
2364,15
1420,12
3079,12
1632,40
1108,1
1297,1
503,9
2722,13
6942,40
3663,8
7307,25
37,8
4774,3
3764,9
6719,20
2968,42
6286,10
2178,3
5886,8
920,13
2157,12
4627,38
4576,17
3168,2
2014,13
5423,5
7772,10
1284,13
2124,11
4134,36
3475,13
1999,1
3501,12
1772,20
1032,17
7541,2
1149,7
1322,24
189,20
1718,1
5724,7
4778,12
4773,2
1181,38
1853,10
6878,34
7447,9
94,19
4993,10
6666,8
970,4
5732,11
726,33
5735,11
44,9
6996,1
1506,10
5384,30
3855,9
3714,4
1773,2
2774,2
5862,1
3719,2
4298,9
250,20
2535,27
4404,11
6869,5
2568,1
7499,11
2275,11
4560,4
6808,20
6949,8
6967,9
3925,26
1305,5
1505,2
3689,2
6609,2
607,9
233,12
1090,4
5300,25
2648,9
2756,21
1469,3
3254,11
4382,38
4077,1
6979,25
7483,4
7157,16
4504,13
4711,12
3524,6
7542,10
6663,4
5757,1
4232,13
6637,0
4408,1
3056,5
3136,38
5878,2
3421,0
3118,4
2773,16
2974,4
3781,9
2467,1
644,1
4429,27
858,25
4385,18
3436,18
7651,19
7024,11
1519,15
1059,5
7715,25
1587,12
3451,9
95,25
860,30
4866,33
543,13
119,42
392,40
1665,0
1372,27
3711,5
7044,33
1320,22
7785,10
5084,5
3141,28
4321,11
1716,25
6133,37
4108,12
4188,8
4757,35
4715,3
4185,1
3329,13
4486,28
6409,37
2656,5
446,10
4897,18
6961,11
5601,12
2835,40
89,10
1936,26
6449,26
3970,11
6352,2
6460,40
7477,3
3461,12
3046,37
6308,1
2811,23
602,2
5949,13
6101,33
3209,2
1947,20
290,17
5373,5
4883,11
733,14
5124,11
6057,30
7343,25
670,1
5193,11
1793,10
3932,25
3401,13
3569,11
6631,24
4551,38
1346,12
4055,3
4569,9
3469,8
7319,17
3612,4
5457,8
7220,2
5967,13
2376,12
4854,4
2187,12
1212,17
5552,5
500,10
7264,4
7724,10
3231,24
1411,13
5890,4
448,3
5431,10
1523,7
4088,5
5965,3
7391,9
5653,2
4037,12
642,38
2915,2
7271,14
7205,7
3971,2
2860,28
210,5
1588,5
185,9
5942,5
1687,13
2422,40
7452,40
5774,12
7569,13
454,40
5067,4
5649,14
1307,3
30,1
4244,9
159,2
6927,1
